name,rank
Cochlospermum_vitifolium,species
Cochlospermum_planchonii,species
Cochlospermum_tetraporum,species
Cochlospermum_regium,species
Cochlospermum_macnamarae,species
Cochlospermum_arafuricum,species
Cochlospermum_angolense,species
Cochlospermum_fraseri,species
Cochlospermum_wittei,species
Cochlospermum_noldei,species
Cochlospermum_tinctorium,species
Cochlospermum_orinocense,species
Cochlospermum_religiosum,species
Bixa,genus
Bixa_orellana,species
Bixa_urucurana,species
Bixa_arborea,species
Bixa_excelsa,species
Bixa_platycarpa,species
Bixa_odorata,species
Amoreuxia,genus
Amoreuxia_wrightii,species
Amoreuxia_palmatifida,species
Amoreuxia_gonzalezii,species
Amoreuxia_malvifolia,species
Diegodendron,genus
Diegodendron_humbertii,species
Rhinanthera,genus
Rhinanthera_odoratissima,species
Phoberos,genus
Phoberos_chinensis,species
